,Network,User,Date,Text,Positive,Neutral,Negative,Compound
103,@FoxNews,Yolanda,Mon Sep 03 16:35:40 +0000 2018,RT @SahilcdesaiC: Didnt .@foxandfriends .@seanhannity sham .@tedcruz because Trump’s friend #Pecker said Cruz’s dad killed JFK.  You guys a…,0.13,0.688,0.182,-0.3182
104,@FoxNews,FREEDOM & 5.56,Mon Sep 03 16:35:40 +0000 2018,@ArrowsmithDoug @FoxNews Well then why did you first claim 900 were shot Mr. History? It helps to have your statist… https://t.co/uFJeS6wn91,0.198,0.802,0.0,0.5719
105,@FoxNews,fabbymj / Mary Jane Hillpot,Mon Sep 03 16:35:40 +0000 2018,RT @ICanPlainlySee: @TLCampb3 @1_teflon @Hairyplotter @MarlenePenrod @Scottish__Drew @DxmJohansen @NegusHamitic @LiQuiDQuB @kara6478 @niaga…,0.0,1.0,0.0,0.0
106,@FoxNews,Alien Queen,Mon Sep 03 16:35:39 +0000 2018,"RT @hildega73463413: @yamaneika @FoxNews is so dumb their race baiting ends up backfiring with two immediate consequences: 
1. Our protagon…",0.0,0.818,0.182,-0.6418
107,@FoxNews,Shirley R🦋,Mon Sep 03 16:35:38 +0000 2018,RT @ErikaMcdougall: @FoxNews “20+MS-13 Gang members just arrested in CA..more in NY.. these folks [@NancyPelosi @NYGovCuomo ] are doing eve…,0.0,0.853,0.147,-0.4767
108,@FoxNews,susan hominiuk,Mon Sep 03 16:35:38 +0000 2018,"RT @FoxNews: Buzz Aldrin slams 'First Man' movie controversy, posts photos of US flag on moon with 'Proud to be American' hashtag https://t…",0.124,0.876,0.0,0.4767
109,@FoxNews,Jane Carter,Mon Sep 03 16:35:38 +0000 2018,@FoxNews @realDonaldTrump Or pay money to hide secrets of other women,0.0,0.744,0.256,-0.2732
110,@FoxNews,Really Pleased,Mon Sep 03 16:35:38 +0000 2018,RT @naretevduorp: @Acosta @FoxNews It's less about an actor working in retail &amp; more about a wholesale attack (by @FoxNews / @GOP / @realDo…,0.0,0.856,0.144,-0.5209
111,@FoxNews,susan hominiuk,Mon Sep 03 16:35:36 +0000 2018,@FoxNews Will not watch,0.0,1.0,0.0,0.0
112,@FoxNews,D.VanDyke,Mon Sep 03 16:35:36 +0000 2018,"RT @KassandraSeven: Here are @IngrahamAngle currently remaining sponsors.

They will be notified every time this is retweeted by angry cons…",0.0,0.852,0.148,-0.5106
113,@FoxNews,Barbara Clayton,Mon Sep 03 16:35:34 +0000 2018,"RT @cubfan2017: @FoxNews The grocery chain I worked 40 years for was the state's #1 employer
A union shop ,that gave,my family inc. And sec…",0.0,1.0,0.0,0.0
114,@FoxNews,Thrifty Feasting,Mon Sep 03 16:35:33 +0000 2018,"RT @TeaPainUSA: Heads up.  Rudy Giluliani warned about ""Plan B and C"" if Mueller is not ""done"" by Sept. 1.  Expect a coordinated effort by…",0.0,0.913,0.087,-0.2732
115,@FoxNews,glap,Mon Sep 03 16:35:32 +0000 2018,"RT @TeaPainUSA: Heads up.  Rudy Giluliani warned about ""Plan B and C"" if Mueller is not ""done"" by Sept. 1.  Expect a coordinated effort by…",0.0,0.913,0.087,-0.2732
116,@FoxNews,RageAgainstTheTraitor,Mon Sep 03 16:35:32 +0000 2018,"@CornellWBrooks @citizenyid @FoxNews ""Narcissists of leisure"" -&gt; the Fox News staff &amp; Trump, his kids, and his enti… https://t.co/dedFLkl36k",0.0,1.0,0.0,0.0
117,@FoxNews,Hebano Duffrayer,Mon Sep 03 16:35:32 +0000 2018,@FoxNews @lauraingle @AmericaNewsroom Gas prices going down? That’s a dream for us brazilians,0.154,0.846,0.0,0.25
